key;es;en
idioma;Idioma;Language
selidioma;Seleccionar Idioma:;Select Language
data;Datos;Data
basico;Estadísticas Básicas;Basic Statistics
acp;ACP;PCA
jerarquico;Cluster Jerárquico;Hierarchical Clustering
kmedias;K-Medias;K-Means
inercia;Inercia;Inertia
inerciaintra;Inercia Intra-Clase;Inertia Intra-Class
inerciainter;Inercia Inter-Clase;Inertia Inter-Class
silhouette;Anchura media de Silhouette;Average Silhouette Width
reporte;Generar Reporte;Generate Report
acercade;Acerca De;About
cargar;Cargar;Load
trans;Transformar;Convert
header;Encabezado;Header 
Rownames;Incluir nombre de filas;Rownames
separador;Separador;Separator
coma;Coma;Comma
puntocoma;Punto y coma;Semicolon
tab;Espacio;Tab
separadordec;Separador Decimal;Decimal Separator
eliminana;Acción para Datos Ausentes(NAs);Action for Missing Data(NAs)
eliminar;Eliminar;Delete
imputar;Imputar;Impute
jambu;Jambu;Jambu
sil;Silhouette;Silhouette
punto;Punto;Point
si;SI;YES
no;NO;NO
cargarchivo;Cargar Archivo;Load Archive 
subir;Subir;Upload
descarga;Descargar Datos;Download Data
buscar;Buscar:;Search:
numerico;Numérico;Numeric
numericas;Numéricas;Numericals
categorico;Categórico;Categorical
categoricas;Categóricas;Categoricals
disyuntivo;Disyuntivo;Disjunctive
variables;Variables;Variables
tipo;Tipo;Type
activa;Activa;Active
aplicar;Aplicar;Apply
resumen;Resumen Numérico;Numeric Summary
normalidad;Test de Normalidad;Normality Test
dispersion;Dispersión;Scatter Plot
distribuciones;Distribuciones;Distributions
distribucion;Distribución;Distribution
correlacion;Correlación;Correlation
resumenvar;Resumen Numérico por Variable;Numeric Summary by Variable
selvar;Seleccionar Variable:;Select Variable:
selvars;Seleccionar Variables:;Select Variables:
plotnormal;Gráfico Normalidad;Normal Plot
titulonormal;Test de normalidad de;Normal Plot of
curvanormal;Curva Normal;Normal Curve
densidad;Densidad;Density
opciones;Opciones;Options
selcolor;Seleccionar Color:;Select Color:
selcolores;Seleccionar Colores:;Select Colors:
ejecutar;Ejecutar;Run
titulodistribucion;Distribución y Atipicidad de;Distribution and Atipicity of
codigo;Código;Code
funciones;Funciones;Functions
codigodistnum;Grafico de la Distribución (Numéricas);Distribution Plot (Numerical)
codigodistcat;Grafico de la Distribución (Categóricas);Distribution Plot (Categorical)
cantidadcasos;Cantidad de Casos;Number of Cases
categorias;Categorías;Categories
